
9011,05/03/2001,3.500,1150.000
9011,06/03/2001,3.890,1335.640
9011,07/03/2001,4.130,1466.000
9011,08/03/2001,3.860,1321.360
9011,09/03/2001,2.940,883.440
9011,10/03/2001,2.640,740.640
9011,11/03/2001,2.470,659.720
9011,12/03/2001,2.790,812.040
9011,13/03/2001,2.810,821.560
9011,14/03/2001,2.920,873.920
9011,15/03/2001,2.780,807.280
9011,16/03/2001,2.340,597.840
9011,17/03/2001,2.090,478.840
9011,18/03/2001,1.950,415.900
9011,19/03/2001,1.870,383.740
9011,20/03/2001,1.830,367.660
9011,21/03/2001,1.750,335.500
9011,22/03/2001,1.670,303.340
9011,23/03/2001,1.760,339.520
9011,24/03/2001,1.920,403.840
9011,25/03/2001,1.880,387.760
9011,26/03/2001,1.750,335.500
9011,27/03/2001,1.630,287.260
9011,28/03/2001,1.520,243.040
9011,29/03/2001,1.480,228.400
9011,30/03/2001,1.430,211.900
9011,31/03/2001,1.530,247.060
9011,01/04/2001,1.670,303.340
9011,02/04/2001,1.750,335.500
9011,03/04/2001,1.620,283.240
9011,04/04/2001,1.490,231.700
9011,05/04/2001,1.400,202.000
9011,06/04/2001,1.340,184.000
9011,07/04/2001,1.250,158.000
9011,08/04/2001,1.220,149.600
9011,09/04/2001,1.290,169.200
9011,10/04/2001,1.690,311.380
9011,11/04/2001,1.510,239.020
9011,12/04/2001,1.380,196.000
9011,13/04/2001,1.460,221.800
9011,14/04/2001,1.460,221.800
9011,15/04/2001,1.350,187.000
9011,16/04/2001,1.250,158.000
9011,17/04/2001,1.170,135.900
9011,18/04/2001,1.110,119.700
9011,19/04/2001,1.060,107.400
9011,20/04/2001,1.020,97.800
9011,21/04/2001,1.020,97.800
9011,22/04/2001,1.030,100.200
9011,23/04/2001,1.080,112.200
9011,24/04/2001,1.430,211.900
9011,25/04/2001,1.980,427.960
9011,26/04/2001,1.670,303.340
9011,27/04/2001,1.460,221.800
9011,28/04/2001,1.260,160.800
9011,29/04/2001,1.150,130.500
9011,30/04/2001,1.180,138.600
9011,01/05/2001,1.200,144.000
9011,02/05/2001,1.620,283.240
9011,03/05/2001,1.600,275.200
9011,04/05/2001,1.560,259.120
9011,05/05/2001,1.510,239.020
9011,06/05/2001,1.420,208.600
9011,07/05/2001,1.840,371.680
9011,08/05/2001,1.770,343.540
9011,09/05/2001,1.560,259.120
9011,10/05/2001,1.410,205.300
9011,11/05/2001,1.330,181.000
9011,12/05/2001,1.230,152.400
9011,13/05/2001,1.160,133.200
9011,14/05/2001,1.150,130.500
9011,15/05/2001,1.060,107.400
9011,16/05/2001,0.980,89.200
9011,17/05/2001,0.930,79.700
9011,18/05/2001,0.910,75.900
9011,19/05/2001,0.890,72.400
9011,20/05/2001,0.850,66.000
9011,21/05/2001,0.810,59.600
9011,22/05/2001,0.790,56.300
9011,23/05/2001,0.870,69.200
9011,24/05/2001,0.850,66.000
9011,25/05/2001,0.820,61.200
9011,26/05/2001,0.760,51.200
9011,27/05/2001,0.730,46.100
9011,28/05/2001,0.690,39.500
9011,29/05/2001,0.680,38.000
9011,30/05/2001,0.670,36.500
9011,31/05/2001,0.670,36.500
9011,01/06/2001,0.660,35.000
9011,02/06/2001,0.640,32.000
9011,03/06/2001,0.640,32.000
9011,04/06/2001,0.660,35.000
9011,05/06/2001,0.690,39.500
9011,06/06/2001,0.680,38.000
9011,07/06/2001,0.670,36.500
9011,08/06/2001,0.650,33.500
9011,09/06/2001,0.630,30.500
9011,10/06/2001,0.620,29.000
9011,11/06/2001,0.680,38.000
9011,12/06/2001,0.800,58.000
9011,13/06/2001,0.810,59.600
9011,14/06/2001,0.790,56.300
9011,15/06/2001,0.730,46.100
9011,16/06/2001,0.670,36.500
9011,17/06/2001,0.660,35.000
9011,18/06/2001,0.650,33.500
9011,19/06/2001,0.650,33.500
9011,20/06/2001,0.660,35.000
9011,21/06/2001,0.650,33.500
9011,22/06/2001,0.610,27.500
9011,23/06/2001,0.610,27.500
9011,24/06/2001,0.610,27.500
9011,25/06/2001,0.620,29.000
9011,26/06/2001,0.670,36.500
9011,27/06/2001,0.670,36.500
9011,28/06/2001,0.660,35.000
9011,29/06/2001,0.650,33.500
9011,30/06/2001,0.660,35.000
9011,01/07/2001,0.650,33.500
9011,02/07/2001,0.660,35.000
9011,03/07/2001,0.680,38.000
9011,04/07/2001,0.680,38.000
9011,05/07/2001,0.650,33.500
9011,06/07/2001,0.700,41.000
9011,07/07/2001,0.730,46.100
9011,08/07/2001,0.780,54.600
9011,09/07/2001,0.840,64.400
9011,10/07/2001,0.840,64.400
9011,11/07/2001,0.860,67.600
9011,12/07/2001,0.770,52.900
9011,13/07/2001,0.750,49.500
9011,14/07/2001,0.710,42.700
9011,15/07/2001,0.670,36.500
9011,16/07/2001,0.700,41.000
9011,17/07/2001,0.750,49.500
9011,18/07/2001,0.730,46.100
9011,19/07/2001,0.690,39.500
9011,20/07/2001,0.630,30.500
9011,21/07/2001,0.670,36.500
9011,22/07/2001,0.700,41.000
9011,23/07/2001,0.740,47.800
9011,24/07/2001,0.730,46.100
9011,25/07/2001,0.740,47.800
9011,26/07/2001,0.710,42.700
9011,27/07/2001,0.730,46.100
9011,28/07/2001,0.700,41.000
9011,29/07/2001,0.740,47.800
9011,30/07/2001,0.750,49.500
9011,31/07/2001,0.810,59.600
9011,01/08/2001,0.800,58.000
9011,02/08/2001,0.770,52.900
9011,03/08/2001,0.750,49.500
9011,04/08/2001,0.730,46.100
9011,05/08/2001,0.700,41.000
9011,06/08/2001,0.710,42.700
9011,07/08/2001,0.700,41.000
9011,08/08/2001,0.700,41.000
9011,09/08/2001,0.670,36.500
9011,10/08/2001,0.660,35.000
9011,11/08/2001,0.660,35.000
9011,12/08/2001,0.660,35.000
9011,13/08/2001,0.670,36.500
9011,14/08/2001,0.710,42.700
9011,15/08/2001,0.770,52.900
9011,16/08/2001,0.860,67.600
9011,17/08/2001,0.840,64.400
9011,18/08/2001,0.830,62.800
9011,19/08/2001,0.860,67.600
9011,20/08/2001,0.830,62.800
9011,21/08/2001,0.790,56.300
9011,22/08/2001,0.750,49.500
9011,23/08/2001,0.720,44.400
9011,24/08/2001,0.680,38.000
9011,25/08/2001,0.660,35.000
9011,26/08/2001,0.670,36.500
9011,27/08/2001,0.670,36.500
9011,28/08/2001,0.670,36.500
9011,29/08/2001,0.670,36.500
9011,30/08/2001,0.650,33.500
9011,31/08/2001,0.640,32.000
